feature,frequency,percentage
PLSCR1,60,100.0
TOB1,60,100.0
USP17L7,60,100.0
MAP1LC3B,60,100.0
HTATIP2,60,100.0
TAGLN2,60,100.0
CAPZA3,60,100.0
LINC01565,60,100.0
ABCA7,60,100.0
FN3KRP,60,100.0
FAM210A,60,100.0
PCCA,60,100.0
ALDH2,60,100.0
TMEM210,60,100.0
SLC17A4,60,100.0
RTN3,60,100.0
TMBIM1,60,100.0
PLXNA4,60,100.0
LRP2,60,100.0
RIOK3,60,100.0
HIBADH,60,100.0
ARG2,60,100.0
RETREG1,60,100.0
CLDN24,60,100.0
RMND5A,60,100.0
MACIR,60,100.0
LIMK2,60,100.0
DBR1,60,100.0
MCM4,60,100.0
MOCOS,60,100.0
LAPTM4B,60,100.0
HSPB8,60,100.0
NPAS3,60,100.0
GABARAPL1,60,100.0
ZNF165,60,100.0
EIF1,60,100.0
SDCBP2,60,100.0
DUSP1,60,100.0
NUP43,60,100.0
RNU4-49P,60,100.0
TTC39C,60,100.0
CHP1,60,100.0
JPT1,60,100.0
SCCPDH,60,100.0
LINC02104,60,100.0
MAOA,60,100.0
WLS,60,100.0
SERPINB1,60,100.0
CD55,60,100.0
SNRNP25,60,100.0
HROB,60,100.0
ARL6IP1,60,100.0
RAB33B,60,100.0
ZNF284,60,100.0
ARRDC3,60,100.0
CAMK2D,60,100.0
CTNNA1,60,100.0
NPHP4,60,100.0
LRRC52,60,100.0
ATF3,60,100.0
ADSS2,60,100.0
LINC01358,60,100.0
H3C11,60,100.0
LINC02340,60,100.0
ATL3,60,100.0
PLS3,57,95.0
EPHA2,57,95.0
NCCRP1,57,95.0
MCM5,57,95.0
RNU6-1209P,57,95.0
STK19,57,95.0
TC2N,57,95.0
RAP1GDS1,57,95.0
FLOT2,57,95.0
RPL23AP86,57,95.0
ID3,57,95.0
MIR5195,57,95.0
KMO,57,95.0
CTH,57,95.0
CAPZA1,57,95.0
DHCR24,57,95.0
RPL21P88,57,95.0
LINC02888,57,95.0
LGALS3,57,95.0
OSER1,57,95.0
RAB11A,57,95.0
C6orf62,57,95.0
SORBS2-AS1,57,95.0
ANXA1,57,95.0
VWA5A,57,95.0
CREM,57,95.0
HCRTR2,57,95.0
SDCBP,57,95.0
PPP1CB,57,95.0
ARL3,57,95.0
NAMPT,57,95.0
SLC2A9,57,95.0
TPGS1,57,95.0
DEFB1,57,95.0
HENMT1,57,95.0
TGIF1,57,95.0
STX8,57,95.0
MGST1,57,95.0
GPRC5A,57,95.0
GIMAP3P,57,95.0
TMEM237,57,95.0
TMEM140,57,95.0
C12orf76,57,95.0
JAKMIP1,57,95.0
MORF4L1,57,95.0
LETM2,57,95.0
MFSD6L,57,95.0
LGALS7B,57,95.0
BCDIN3D,57,95.0
